url	download_complete
www.ics.uci.edu/ugrad	complete
www.ics.uci.edu/ugrad/index.php	complete
www.ics.uci.edu/bioshape/index.html	complete
www.ics.uci.edu/policies/index.php	complete
www.ics.uci.edu/community/news/view_news?id=1407	complete
www.ics.uci.edu/community/news/view_news?id=1406	complete
www.ics.uci.edu/community/news/view_news?id=1405	complete
www.ics.uci.edu/community/news/view_news?id=1404	complete
www.ics.uci.edu/community/news/view_news?id=1403	complete
www.ics.uci.edu/community/news/view_news?id=1402	complete
www.ics.uci.edu/community/news/view_news?id=1401	complete
www.ics.uci.edu/community/news/view_news?id=1400	complete
www.ics.uci.edu/employment	complete
www.ics.uci.edu/bren/bren_press.php	complete
www.ics.uci.edu/statistics/grad/index.php	complete
www.ics.uci.edu/community/news/view_news?id=1408	complete
www.ics.uci.edu/employ_faculty.php	complete
www.ics.uci.edu/community/news/view_news.php?id=1359	complete
www.ics.uci.edu/community/news/view_news.php?id=1358	complete
www.ics.uci.edu/about/about_safety.php	complete
www.ics.uci.edu/~fowlkes	complete
www.ics.uci.edu/~kay/choosing.courses.html	complete
www.ics.uci.edu/community/news/view_news.php?id=1351	complete
www.ics.uci.edu/community/news/view_news.php?id=1350	complete
www.ics.uci.edu/community/news/view_news.php?id=1353	complete
www.ics.uci.edu/community/news/view_news.php?id=1352	complete
www.ics.uci.edu/community/news/view_news.php?id=1390	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1420	incomplete
www.ics.uci.edu/ugrad/degrees/Minors	incomplete
www.ics.uci.edu/policies/Withdrawal_Readmission.php	incomplete
www.ics.uci.edu/ugrad/resources/index.php	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1283	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1285	incomplete
www.ics.uci.edu/about_meet_the_dean.php	incomplete
vision.ics.uci.edu/pocv2012/index.html	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1458	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1459	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1457	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1321	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1323	incomplete
www.ics.uci.edu/community/news/view_news?id=1331	incomplete
www.ics.uci.edu/community/news/view_news?id=1330	incomplete
www.ics.uci.edu/community/news/view_news?id=1333	incomplete
www.ics.uci.edu/community/news/view_news?id=1332	incomplete
www.ics.uci.edu/community/news/view_news?id=1335	incomplete
www.ics.uci.edu/community/news/view_news?id=1334	incomplete
www.ics.uci.edu/community/news/view_news?id=1337	incomplete
www.ics.uci.edu/community/news/view_news?id=1336	incomplete
www.ics.uci.edu/community/news/view_news?id=1339	incomplete
www.ics.uci.edu/community/news/view_news?id=1338	incomplete
www.ics.uci.edu/~kay/college.html	incomplete
www.ics.uci.edu/sao/SAO_Events.php	incomplete
www.ics.uci.edu/grad/funding	incomplete
www.ics.uci.edu/ugrad/policies/Laptop_ComputerUse.php	incomplete
www.ics.uci.edu/ugrad/sao/index.php	incomplete
www.ics.uci.edu/degrees/Double_Majors.php	incomplete
www.ics.uci.edu/ugrad/policies/Grade_Options	incomplete
www.ics.uci.edu/grad	incomplete
www.ics.uci.edu/degrees/Second_BA.php	incomplete
www.ics.uci.edu/community/news/index.php	complete
www.ics.uci.edu/grad/admissions/index	complete
www.ics.uci.edu/~kay	incomplete
www.ics.uci.edu/about_safety.php	incomplete
www.ics.uci.edu/ugrad/policies/Academic_Standing	incomplete
www.ics.uci.edu/ugrad/courses/index	incomplete
transformativeplay.ics.uci.edu/saumya-gupta	incomplete
www.ics.uci.edu/faculty/highlights	incomplete
www.ics.uci.edu/143A/index.html	incomplete
www.ics.uci.edu/community/news/view_news?id=1428	incomplete
www.ics.uci.edu/community/news/view_news?id=1319	incomplete
www.ics.uci.edu/../grad/index.php	incomplete
www.ics.uci.edu/courses/index.php	incomplete
www.ics.uci.edu/~klefstad	incomplete
www.ics.uci.edu/ugrad/resources/index	incomplete
www.ics.uci.edu/grad/policies/index.php	incomplete
www.ics.uci.edu/~skong2	incomplete
www.ics.uci.edu/~andre	incomplete
www.ics.uci.edu/QA_Graduation.php	incomplete
www.ics.uci.edu/community	incomplete
www.ics.uci.edu/community/news/student_blogs/index.php	incomplete
www.ics.uci.edu/community/news/view_news?id=1478	complete
www.ics.uci.edu/community/news/view_news?id=1479	incomplete
www.ics.uci.edu/community/news/view_news?id=1476	incomplete
www.ics.uci.edu/community/news/view_news?id=1477	incomplete
www.ics.uci.edu/community/news/view_news?id=1474	incomplete
www.ics.uci.edu/community/news/view_news?id=1475	incomplete
www.ics.uci.edu/community/news/view_news?id=1472	incomplete
www.ics.uci.edu/community/news/view_news?id=1473	incomplete
www.ics.uci.edu/community/news/view_news?id=1470	incomplete
www.ics.uci.edu/community/news/view_news?id=1471	complete
www.ics.uci.edu/computing/account/new	incomplete
www.ics.uci.edu/238P/2018winter/index.html	incomplete
www.ics.uci.edu/involved/tech_talk.php	incomplete
www.ics.uci.edu/ugrad/sao/Course_updates.php	incomplete
www.ics.uci.edu/grad/admissions	complete
cloudberry.ics.uci.edu	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1360	incomplete
www.ics.uci.edu/ugrad/advising/ICS New Student Welcome.php	incomplete
www.ics.uci.edu/community/news/view_news?id=1379	incomplete
www.ics.uci.edu/about	incomplete
www.ics.uci.edu/community/news/view_news?id=1375	incomplete
www.ics.uci.edu/community/news/view_news?id=1374	incomplete
www.ics.uci.edu/community/news/view_news?id=1377	incomplete
www.ics.uci.edu/community/news/view_news?id=1376	incomplete
www.ics.uci.edu/community/news/view_news?id=1370	incomplete
www.ics.uci.edu/community/news/view_news?id=1373	incomplete
www.ics.uci.edu/sao/Course_updates.php	incomplete
www.ics.uci.edu/community/alumni	incomplete
www.ics.uci.edu/ugrad/policies/Add_Drop_ChangeOption.php	incomplete
www.ics.uci.edu/ugrad/QA_Graduation	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1405	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1404	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1407	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1406	incomplete
www.ics.uci.edu/~fowlkes/publications.html	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1400	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1403	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1402	incomplete
www.ics.uci.edu/community/news/view_news?id=1300	incomplete
www.ics.uci.edu/community/news/view_news?id=1301	incomplete
www.ics.uci.edu/community/news/view_news?id=1302	incomplete
www.ics.uci.edu/community/news/view_news?id=1303	incomplete
www.ics.uci.edu/community/news/view_news?id=1304	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1408	incomplete
www.ics.uci.edu/community/news/view_news?id=1306	incomplete
www.ics.uci.edu/community/news/view_news?id=1307	incomplete
www.ics.uci.edu/about/equity	complete
www.ics.uci.edu/involved/information_session.php	complete
www.ics.uci.edu/involved/leadership_council.php	complete
www.ics.uci.edu/../../computing/account/new.php	complete
www.ics.uci.edu/brenhall/index.php	complete
www.ics.uci.edu/~minhaenl	incomplete
www.ics.uci.edu/community/news/view_news?id=1393	incomplete
www.ics.uci.edu/community/news/view_news?id=1392	incomplete
www.ics.uci.edu/community/news/view_news?id=1391	incomplete
www.ics.uci.edu/community/news/view_news?id=1390	incomplete
www.ics.uci.edu/community/news/view_news?id=1397	incomplete
www.ics.uci.edu/community/news/view_news?id=1396	incomplete
www.ics.uci.edu/community/news/view_news?id=1395	incomplete
www.ics.uci.edu/community/news/view_news?id=1394	incomplete
www.ics.uci.edu/community/news/view_news?id=1399	incomplete
www.ics.uci.edu/community/news/view_news?id=1398	incomplete
www.ics.uci.edu/~jacobson	incomplete
www.ics.uci.edu/involved	incomplete
www.ics.uci.edu/ugrad/degrees/Minors.php	incomplete
www.ics.uci.edu/community/news/view_news?id=1409	complete
www.ics.uci.edu/grad/Prospective_ApplicationProcess.php	incomplete
www.ics.uci.edu/work.html	incomplete
www.ics.uci.edu/about/about_mission.php	incomplete
www.ics.uci.edu/ugrad/sao/Appts_Walk-Ins.php	incomplete
www.ics.uci.edu/ugrad/sao/Course_updates	incomplete
www.ics.uci.edu/about/annualreport/index.php	incomplete
www.ics.uci.edu/community/news/view_news?id=1438	incomplete
www.ics.uci.edu/community/news/view_news?id=1439	incomplete
www.ics.uci.edu/about/about_meet_the_dean.php	incomplete
www.ics.uci.edu/community/news/view_news?id=1432	incomplete
www.ics.uci.edu/community/news/view_news?id=1433	incomplete
www.ics.uci.edu/community/news/view_news?id=1430	incomplete
www.ics.uci.edu/community/news/view_news?id=1431	incomplete
www.ics.uci.edu/community/news/view_news?id=1436	incomplete
www.ics.uci.edu/community/news/view_news?id=1437	incomplete
www.ics.uci.edu/community/news/view_news?id=1434	incomplete
www.ics.uci.edu/community/news/view_news?id=1435	incomplete
vision.ics.uci.edu/people/6.html	incomplete
www.ics.uci.edu/250P/index.html	incomplete
www.ics.uci.edu/grad/funding/index	incomplete
www.ics.uci.edu/~gopi	incomplete
www.ics.uci.edu/community/news/view_news?id=1294	incomplete
www.ics.uci.edu/~fowlkes/presentations.html	incomplete
www.ics.uci.edu/bren/index.php	incomplete
www.ics.uci.edu/involved/internship.php	incomplete
www.ics.uci.edu/community/alumni/hall_of_fame/inductees.php	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1339	incomplete
www.ics.uci.edu/grad/courses	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1445	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1447	incomplete
www.ics.uci.edu/ugrad/policies/Change_of_Major.php	incomplete
www.ics.uci.edu/community/news/view_news?id=1344	incomplete
www.ics.uci.edu/community/news/view_news?id=1345	incomplete
www.ics.uci.edu/community/news/view_news?id=1347	complete
www.ics.uci.edu/community/news/view_news?id=1340	complete
www.ics.uci.edu/community/news/view_news?id=1341	incomplete
www.ics.uci.edu/community/news/view_news?id=1342	incomplete
www.ics.uci.edu/community/news/view_news?id=1343	incomplete
www.ics.uci.edu/ugrad/policies/Add_Drop_ChangeOption	incomplete
www.ics.uci.edu/community/news/view_news?id=1348	incomplete
www.ics.uci.edu/community/news/view_news?id=1349	complete
www.ics.uci.edu/community/news/press	incomplete
jgarcia.ics.uci.edu	incomplete
www.ics.uci.edu/community/news/view_news?id=1296	incomplete
www.ics.uci.edu/community/news/view_news?id=1297	incomplete
www.ics.uci.edu/ugrad/QA_Petitions.php	incomplete
www.ics.uci.edu/community/news/view_news?id=1295	incomplete
www.ics.uci.edu/community/news/view_news?id=1292	incomplete
www.ics.uci.edu/community/news/view_news?id=1293	incomplete
www.ics.uci.edu/community/news/view_news?id=1290	incomplete
www.ics.uci.edu/community/news/view_news?id=1291	incomplete
www.ics.uci.edu/community/news/view_news?id=1298	incomplete
www.ics.uci.edu/community/news/view_news?id=1299	incomplete
luci.ics.uci.edu/pages/Students/AmandaCullen/AmandaCullen.html	incomplete
www.ics.uci.edu/grad/courses/index	incomplete
www.ics.uci.edu/community/events/competition	incomplete
www.ics.uci.edu/forms/index.php	incomplete
vision.ics.uci.edu	incomplete
www.ics.uci.edu/sao/Concurrent_Enrollment.php	incomplete
www.ics.uci.edu/faculty	incomplete
www.ics.uci.edu/about/search/index.php	incomplete
www.ics.uci.edu/publications.html	incomplete
www.ics.uci.edu/~harris	incomplete
www.ics.uci.edu/grad/index.php	incomplete
www.ics.uci.edu/238P/index.html	incomplete
www.ics.uci.edu/sao/Appts_Walk-Ins.php	incomplete
www.ics.uci.edu/community/news/view_news?id=1308	incomplete
www.ics.uci.edu/community/news/view_news?id=1309	incomplete
www.ics.uci.edu/ugrad/policies/CS199_IN4MATX199	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1401	incomplete
www.ics.uci.edu/employ_distinguished.php	incomplete
www.ics.uci.edu/ugrad/policies/Course_Outside_UCI	incomplete
www.ics.uci.edu/~standish	incomplete
www.ics.uci.edu/ugrad/QA_Petitions	incomplete
www.ics.uci.edu/dept	incomplete
www.ics.uci.edu/community/news/view_news?id=1461	incomplete
www.ics.uci.edu/community/news/view_news?id=1460	incomplete
www.ics.uci.edu/community/news/view_news?id=1463	incomplete
www.ics.uci.edu/community/news/view_news?id=1462	incomplete
www.ics.uci.edu/community/news/view_news?id=1465	incomplete
www.ics.uci.edu/community/news/view_news?id=1464	incomplete
www.ics.uci.edu/community/news/view_news?id=1467	incomplete
www.ics.uci.edu/community/news/view_news?id=1466	incomplete
www.ics.uci.edu/community/news/view_news?id=1469	complete
www.ics.uci.edu/community/news/view_news?id=1468	complete
www.ics.uci.edu/about/about_deanmsg.php	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1409	incomplete
www.ics.uci.edu/involved/project_class	incomplete
www.ics.uci.edu/community/news/view_news?id=1305	incomplete
www.ics.uci.edu/resources.php	incomplete
www.ics.uci.edu/about/about_factsfigures.php	incomplete
www.ics.uci.edu/policies/CS199_IN4MATX199.php	complete
www.ics.uci.edu/involved/leadership_council	complete
www.ics.uci.edu/~sternh	incomplete
www.ics.uci.edu/employment/employ_faculty.php	complete
mhcid.ics.uci.edu	incomplete
www.ics.uci.edu/ugrad/sao/index	incomplete
www.ics.uci.edu/ugrad/courses/index-course	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1470	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1472	incomplete
www.ics.uci.edu/community/news/view_news?id=1318	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1477	incomplete
www.ics.uci.edu/community/news/view_news?id=1313	incomplete
www.ics.uci.edu/community/news/view_news?id=1312	incomplete
www.ics.uci.edu/community/news/view_news?id=1311	incomplete
www.ics.uci.edu/community/news/view_news?id=1310	incomplete
www.ics.uci.edu/community/news/view_news?id=1317	incomplete
www.ics.uci.edu/community/news/view_news?id=1316	incomplete
www.ics.uci.edu/community/news/view_news?id=1315	incomplete
www.ics.uci.edu/community/news/view_news?id=1314	incomplete
www.ics.uci.edu/grad/admissions/Prospective_ApplicationProcess.php	incomplete
www.ics.uci.edu/ugrad/policies/Laptop_ComputerUse	incomplete
www.ics.uci.edu/resources/index.php	incomplete
www.ics.uci.edu/grad/degrees/index	incomplete
www.ics.uci.edu/community/news/view_news?id=1415	complete
www.ics.uci.edu/~marios	incomplete
www.ics.uci.edu/employment/employ_distinguished.php	complete
www.ics.uci.edu/about/facilities/index.php	incomplete
www.ics.uci.edu/about_mission.php	incomplete
www.ics.uci.edu/sao/index.php	incomplete
www.ics.uci.edu/about/brenhall/index.php	incomplete
www.ics.uci.edu/~fowlkes/software.html	incomplete
www.ics.uci.edu/community/news/view_news?id=1429	incomplete
www.ics.uci.edu/about/visit/index.php	incomplete
www.ics.uci.edu/community/news/view_news?id=1425	incomplete
www.ics.uci.edu/community/news/view_news?id=1424	incomplete
www.ics.uci.edu/community/news/view_news?id=1427	incomplete
www.ics.uci.edu/community/news/view_news?id=1426	incomplete
www.ics.uci.edu/community/news/view_news?id=1421	incomplete
www.ics.uci.edu/community/news/view_news?id=1420	incomplete
www.ics.uci.edu/community/news/view_news?id=1423	incomplete
www.ics.uci.edu/community/news/view_news?id=1422	incomplete
www.ics.uci.edu/community/news/student_blogs	incomplete
www.ics.uci.edu/143A/2017fall/index.html	incomplete
www.ics.uci.edu/employ_lecturer.php	incomplete
www.ics.uci.edu/ugrad/policies/Grade_Options.php	incomplete
www.ics.uci.edu/143A/2017winter/index.html	incomplete
www.ics.uci.edu/community/news/view_news?id=1458	complete
www.ics.uci.edu/community/news/view_news?id=1459	complete
www.ics.uci.edu/grad/funding/index.php	complete
www.ics.uci.edu/about_deanmsg.php	incomplete
www.ics.uci.edu/community/news/view_news?id=1450	incomplete
www.ics.uci.edu/community/news/view_news?id=1451	incomplete
www.ics.uci.edu/community/news/view_news?id=1452	incomplete
www.ics.uci.edu/community/news/view_news?id=1453	incomplete
www.ics.uci.edu/community/news/view_news?id=1454	incomplete
www.ics.uci.edu/community/news/view_news?id=1455	incomplete
www.ics.uci.edu/community/news/view_news?id=1456	incomplete
www.ics.uci.edu/advising/ICS Credit by Exam Fall.php	incomplete
www.ics.uci.edu/grad/forms/index	incomplete
www.ics.uci.edu/ugrad/policies/Academic_Standing.php	incomplete
www.ics.uci.edu/employment/employ_lecturer.php	incomplete
www.ics.uci.edu/community/news/view_news?id=1353	incomplete
www.ics.uci.edu/community/news/view_news?id=1352	incomplete
www.ics.uci.edu/community/news/view_news?id=1351	incomplete
www.ics.uci.edu/community/news/view_news?id=1350	incomplete
www.ics.uci.edu/community/news/view_news?id=1359	incomplete
www.ics.uci.edu/community/news/view_news?id=1358	incomplete
www.ics.uci.edu/~aburtsev	complete
www.ics.uci.edu/community/news/view_news?id=1289	incomplete
www.ics.uci.edu/community/news/view_news?id=1288	incomplete
chenli.ics.uci.edu	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1399	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1398	incomplete
www.ics.uci.edu/community/news/view_news?id=1283	incomplete
www.ics.uci.edu/community/news/view_news?id=1285	incomplete
www.ics.uci.edu/community/news/view_news?id=1284	complete
www.ics.uci.edu/community/news/view_news?id=1287	incomplete
www.ics.uci.edu/community/news/view_news?id=1286	incomplete
www.ics.uci.edu/../community/events/openhouse/dedication.html	incomplete
www.ics.uci.edu/funding/index.php	incomplete
www.ics.uci.edu/ugrad/courses/listing.php?year=2016&level=Lower-Division&department=STATS&program=ALL	incomplete
www.ics.uci.edu/policies/Grade_Options.php	incomplete
www.ics.uci.edu/about/kfflab/index.php	incomplete
